layer,beta,n,midpoint_cos_mean,midpoint_cos_std,arc_mid_deviation_mean,arc_mid_deviation_std,arc_ratio_mean,arc_ratio_std,cka_base_vs_ft_mean,cka_base_vs_ft_std,cka_base_vs_mixed_mean,cka_base_vs_mixed_std,cka_ft_vs_mixed_mean,cka_ft_vs_mixed_std
16,0.25,270,0.6946397569444445,0.07122833881110112,0.29096498842592594,0.03327948533961468,0.5529875578703703,0.10761310203181643,0.5177879050925925,0.07133050953644275,0.7087094907407407,0.06357677184567524,0.44558738425925926,0.05785371939271075
16,0.5,270,0.783912037037037,0.04798467549687394,0.20310691550925927,0.04645107041101127,0.42530381944444445,0.07991951838345815,0.5177879050925925,0.07133050953644275,0.8847077546296296,0.04043693164877626,0.5658854166666667,0.06700088647157909
16,0.75,270,0.7765769675925925,0.04541054674656391,0.2157931857638889,0.04731168593658764,0.5212456597222223,0.09063106173935377,0.5177879050925925,0.07133050953644275,0.8155815972222222,0.060468169922768746,0.5962022569444444,0.06479084399156358
17,0.25,270,0.6943504050925926,0.07079265999331273,0.2918583622685185,0.033202589355915524,0.5565248842592593,0.10730416608684439,0.5177879050925925,0.07133050953644275,0.7056278935185185,0.062443076586051444,0.4445384837962963,0.05756703132871439
17,0.5,270,0.7845920138888889,0.04816145971015623,0.2032787181712963,0.04647707453029021,0.42938368055555554,0.07959477781537175,0.5177879050925925,0.07133050953644275,0.8811487268518519,0.04073254281225284,0.5685836226851851,0.06607131466237813
17,0.75,270,0.7766059027777777,0.045317592472726445,0.21538990162037036,0.04741365060493244,0.5274884259259259,0.08863452851892265,0.5177879050925925,0.07133050953644275,0.8106047453703704,0.059933299320019756,0.5964482060185186,0.06316868080001338
18,0.25,270,0.6962818287037037,0.06997971097356333,0.29071903935185184,0.03271633346224575,0.5597728587962963,0.10806131993976323,0.5177879050925925,0.07133050953644275,0.6954137731481481,0.06534020515274955,0.4380425347222222,0.05730820747781477
18,0.5,270,0.7846498842592593,0.04796220789461897,0.20117549189814815,0.045415445025373945,0.43723958333333335,0.07872788932369522,0.5177879050925925,0.07133050953644275,0.8752314814814814,0.04167280489444514,0.5678530092592593,0.06418996279051692
18,0.75,270,0.7760416666666666,0.04498253503032738,0.2145489728009259,0.0472608028112956,0.5372540509259259,0.08679344413000786,0.5177879050925925,0.07133050953644275,0.8071180555555556,0.05894448780629885,0.5936487268518519,0.0621219389328214
19,0.25,270,0.6976924189814815,0.06991473251488547,0.2954318576388889,0.03331947921787158,0.560423900462963,0.10834044927910841,0.5177879050925925,0.07133050953644275,0.6966579861111111,0.06285928571778428,0.4407769097222222,0.05733295430034299
19,0.5,270,0.7875578703703704,0.047269953565725886,0.1994484230324074,0.04425648238969062,0.4418113425925926,0.07832623688003734,0.5177879050925925,0.07133050953644275,0.8702256944444444,0.04344008813010792,0.5741319444444445,0.0640780096166412
19,0.75,270,0.7773292824074074,0.044796837037248224,0.21632125289351853,0.04794592234708327,0.5458984375,0.08572033502535911,0.5177879050925925,0.07133050953644275,0.7987847222222222,0.060852242312695634,0.6010778356481481,0.0628132492506116
20,0.25,270,0.6969618055555555,0.07083276154198001,0.3052734375,0.0331845459662035,0.5603804976851852,0.1086097412851672,0.5177879050925925,0.07133050953644275,0.6949652777777777,0.06281562137152585,0.4404586226851852,0.05793971404228027
20,0.5,270,0.7953269675925926,0.04499295924253672,0.19926396122685186,0.04391359980100448,0.4329788773148148,0.07384108352846463,0.5177879050925925,0.07133050953644275,0.8732204861111111,0.04079143055162106,0.5778139467592592,0.06219477424859954
20,0.75,270,0.7825810185185185,0.043729231395903914,0.21396665219907407,0.04698584175567923,0.5474392361111111,0.08201552933945391,0.5177879050925925,0.07133050953644275,0.8008535879629629,0.059664648289421474,0.6046947337962963,0.06169166267940371
21,0.25,270,0.6989872685185186,0.07097610420621382,0.3104998553240741,0.034043647408317,0.5595486111111111,0.10982962072222172,0.5177879050925925,0.07133050953644275,0.6891203703703703,0.06423092342248723,0.44482060185185185,0.060117023702242735
21,0.5,270,0.7997251157407408,0.044714928766434354,0.19817346643518519,0.0427216863237417,0.43291377314814816,0.0728229488720509,0.5177879050925925,0.07133050953644275,0.8715711805555556,0.04155867533949063,0.5893229166666667,0.0603197277410951
21,0.75,270,0.7877748842592592,0.043412105961321674,0.21152162905092592,0.047210870852262964,0.550267650462963,0.08045395883063215,0.5177879050925925,0.07133050953644275,0.8031394675925926,0.05910683738806049,0.6112340856481482,0.059074318572056264
22,0.25,270,0.7028645833333333,0.06950035726535206,0.3100441261574074,0.0345296363071594,0.5563585069444444,0.1088280859662274,0.5177879050925925,0.07133050953644275,0.6916377314814814,0.0639441144500822,0.44928385416666666,0.06051894843937401
22,0.5,270,0.8055555555555556,0.04352976215629357,0.1986888744212963,0.04248767117899955,0.4314380787037037,0.07299094604289535,0.5177879050925925,0.07133050953644275,0.8744791666666667,0.04216096773700567,0.5957971643518518,0.059409395076301476
22,0.75,270,0.7941116898148148,0.0427220170329183,0.21072591145833333,0.04744766531192713,0.5509837962962963,0.08087229488183129,0.5177879050925925,0.07133050953644275,0.8058304398148148,0.06014435777168436,0.6226128472222222,0.058256488219396094
23,0.25,270,0.6982277199074074,0.07061541428783652,0.3157913773148148,0.03600212161965741,0.5691623263888889,0.1091196697475584,0.5177879050925925,0.07133050953644275,0.6759693287037037,0.06340240017459951,0.44928385416666666,0.06214893217875851
23,0.5,270,0.8136863425925925,0.040914638337830884,0.1949978298611111,0.04137991532712661,0.42972366898148145,0.07110743202593936,0.5177879050925925,0.07133050953644275,0.8743923611111111,0.04210615299665203,0.604615162037037,0.057618772737631906
