layer,lambda_reg,n,midpoint_cos_mean,midpoint_cos_std,arc_mid_deviation_mean,arc_mid_deviation_std,arc_ratio_mean,arc_ratio_std,cka_base_vs_ft_mean,cka_base_vs_ft_std,cka_base_vs_mixed_mean,cka_base_vs_mixed_std,cka_ft_vs_mixed_mean,cka_ft_vs_mixed_std
9,0.5,270,0.7750144675925926,0.045020835226490946,0.19980830439814815,0.0446708447911066,0.45611255787037036,0.08718833218749174,0.5177879050925925,0.07133050953644275,0.8458912037037037,0.053374233496948184,0.5266999421296297,0.06716104758795476
9,0.75,270,0.7735966435185185,0.04754093412731972,0.1946506076388889,0.04452063070533535,0.42686993634259257,0.08160830535450056,0.5177879050925925,0.07133050953644275,0.8683159722222222,0.0463472574698947,0.5207248263888888,0.06712175033143294
10,0.25,270,0.772265625,0.045568390152186874,0.21391059027777778,0.047676282022056954,0.49190538194444444,0.09483104938800242,0.5177879050925925,0.07133050953644275,0.8192853009259259,0.06186578244751675,0.547583912037037,0.06521241322602132
10,0.5,270,0.7771122685185186,0.04564048305531839,0.20357530381944444,0.045116288811901065,0.45405815972222224,0.0890447442307617,0.5177879050925925,0.07133050953644275,0.8458188657407407,0.05283168050356106,0.5296875,0.06509735207390654
10,0.75,270,0.7725549768518518,0.05024040834296845,0.20105613425925925,0.045789501439720326,0.423021556712963,0.08394585920942672,0.5177879050925925,0.07133050953644275,0.8752314814814814,0.044428240801044364,0.5239728009259259,0.06604632067600061
11,0.25,270,0.7714409722222222,0.04580389548108637,0.21468098958333334,0.04721539142545903,0.5010850694444444,0.09475065966012143,0.5177879050925925,0.07133050953644275,0.8199652777777777,0.06065708619773314,0.5501953125,0.06590165854029431
11,0.5,270,0.7753761574074074,0.04610030672251984,0.20303638599537038,0.044179266759835134,0.4623046875,0.08931386078112111,0.5177879050925925,0.07133050953644275,0.8456018518518519,0.05266886498013017,0.5300202546296297,0.06534125265826611
11,0.75,270,0.7710648148148148,0.050838189890618606,0.19893663194444444,0.044548013335746865,0.43028067129629627,0.0840920639770055,0.5177879050925925,0.07133050953644275,0.8745515046296296,0.04492938540575239,0.5250940393518518,0.0663083912325932
12,0.25,270,0.7694010416666667,0.046469783540867386,0.21612051504629629,0.04745878983199587,0.5118561921296296,0.09578912889111772,0.5177879050925925,0.07133050953644275,0.8234085648148148,0.06085545487358384,0.5548466435185185,0.06647006901195844
12,0.5,270,0.7722800925925926,0.04760849267777018,0.20368923611111112,0.044773429949805994,0.47258391203703703,0.09106454317929076,0.5177879050925925,0.07133050953644275,0.8440393518518519,0.054268670710665,0.5335214120370371,0.064976309959134
