layer,beta,n,midpoint_cos_mean,midpoint_cos_std,arc_mid_deviation_mean,arc_mid_deviation_std,arc_ratio_mean,arc_ratio_std,cka_base_vs_ft_mean,cka_base_vs_ft_std,cka_base_vs_mixed_mean,cka_base_vs_mixed_std,cka_ft_vs_mixed_mean,cka_ft_vs_mixed_std
20,0.25,270,0.8059895833333334,0.034352962738320884,0.24758391203703703,0.0339192770041976,0.302076099537037,0.04295606097324532,0.5177879050925925,0.07133050953644275,0.9584490740740741,0.013377133862285787,0.5234157986111111,0.06635974238908153
20,0.5,270,0.8023726851851852,0.03837442687728575,0.18464445891203704,0.03839898230836793,0.40264033564814816,0.05922675698418177,0.5177879050925925,0.07133050953644275,0.9155381944444444,0.028249974180243307,0.5504918981481481,0.06304267375372465
20,0.75,270,0.7918258101851852,0.04225916435520052,0.1953757957175926,0.03972693004471292,0.5131004050925926,0.07422901796674045,0.5177879050925925,0.07133050953644275,0.8342881944444445,0.05214182190460587,0.5892939814814815,0.060200365548487594
21,0.25,270,0.8165653935185185,0.03159938500030066,0.24736328125,0.03548807661697764,0.29025245949074074,0.03847697134535775,0.5177879050925925,0.07133050953644275,0.9615451388888889,0.01357223668388505,0.5330873842592593,0.06442386004513001
21,0.5,270,0.8133680555555556,0.03618188427262664,0.18025716145833334,0.038829049363004416,0.4004050925925926,0.05697612576087336,0.5177879050925925,0.07133050953644275,0.9127025462962963,0.030742473425796755,0.5633174189814815,0.06034301798662763
21,0.75,270,0.7991898148148148,0.041255831277933294,0.1911114728009259,0.03978026404004873,0.5178747106481482,0.07203522044388969,0.5177879050925925,0.07133050953644275,0.8358506944444445,0.052344109889125794,0.5930338541666667,0.05787032922813931
22,0.25,270,0.8256655092592593,0.030082505320551768,0.2596028645833333,0.0348862313745312,0.2764214409722222,0.03715352090347877,0.5177879050925925,0.07133050953644275,0.9584201388888889,0.01765250253850466,0.5441333912037037,0.06419823207816422
22,0.5,270,0.8210503472222223,0.035408820319910744,0.1878146701388889,0.03872443804975486,0.39806134259259257,0.05686790700739502,0.5177879050925925,0.07133050953644275,0.9084056712962963,0.03405619977133875,0.5751591435185185,0.060376221126906
22,0.75,270,0.8053819444444444,0.04089002392064243,0.19119104456018518,0.04078095924240068,0.5204354745370371,0.07197442832469658,0.5177879050925925,0.07133050953644275,0.833984375,0.05439504098998972,0.6051215277777777,0.05744011242467898
23,0.25,270,0.8391637731481482,0.027034898554335544,0.2875,0.03340235028926323,0.24935619212962962,0.03617368242020029,0.5177879050925925,0.07133050953644275,0.9560619212962963,0.02250053006283161,0.5624059606481482,0.06496430007059212
23,0.5,270,0.8344907407407407,0.032112450503579165,0.19226707175925925,0.04081598183112922,0.38697916666666665,0.056411323448350724,0.5177879050925925,0.07133050953644275,0.9060185185185186,0.03671555764221515,0.5912615740740741,0.05997924522467704
23,0.75,270,0.8150462962962963,0.03805654512954284,0.18801179108796295,0.0399353655520087,0.5219111689814815,0.07098704171441093,0.5177879050925925,0.07133050953644275,0.8352575231481482,0.05464760579764656,0.6183304398148148,0.05580956868891665
24,0.25,270,0.8499276620370371,0.02480085090741537,0.30305627893518516,0.03261255575271236,0.23266782407407408,0.035486691833213915,0.5177879050925925,0.07133050953644275,0.9624421296296296,0.017767499613431506,0.5643952546296296,0.06376262808029932
24,0.5,270,0.8461371527777778,0.02914860887965359,0.19348958333333333,0.04115975489145885,0.38211805555555556,0.056517000037884305,0.5177879050925925,0.07133050953644275,0.9074652777777777,0.036918801799513054,0.5977575231481481,0.058014993982035155
